"ActorVial","Prioridad","COD","CONCESION","CORREDOR","ENTIDAD","IDPROY","ID_MT","CodVia","CodPRi","CodPRf","CodSegPRi","CodSegPRf","PasoUrbano","Xi","Yi","Xf","Yf","Shape_Leng"
"Vehiculo","82","36,054","IP - Nueva Malla Vial del Valle del Cauca","Santander de Quilichao-Candelaria","ANI","5","5G001","2504A","34","35","2504A34","2504A35","0","-76.3515632023","3.40584354957","-76.3534895151","3.39770757216","932.438768599"
"Vehiculo","83","35,101",,,"DEPTO","1,099","0","23VL01","0","1","23VL010","23VL011","1","-76.4829536363","3.5513921039","-76.4893293468","3.54576270099","958.010174131"
"Vehiculo","84","14,419","Bucaramanga- Pamplona","Bucaramanga - Pamplona","ANI","43","4G030","6603","67","68","660367","660368","0","-72.8445379277","7.20066840645","-72.8469561449","7.1986496747","978.178026148"
"Vehiculo","85","38,406",,"Pasto-Popayán","INVIAS-OTROS","3","0","2503","80","81","250380","250381","0","-76.7557599434","2.25790487641","-76.7615680904","2.25363152422","978.554853768"
"Vehiculo","86","33,836",,"Loboguerrero - Buga","INVIAS-OTROS","61","0","4001","107","108","4001107","4001108","0","-76.3941861832","3.89114482933","-76.3968561503","3.8958472659","990.374598116"
"Vehiculo","87","33,848",,"Loboguerrero - Buga","INVIAS-OTROS","61","0","4001","116","117","4001116","4001117","0","-76.3337801068","3.89288606236","-76.3249879308","3.89100706801","1,001.13299790999"
"Vehiculo","88","33,827","IP - Nueva Malla Vial del Valle del Cauca","Yumbo - Yotoco - Buga","ANI","1,100","5G001","2301","51","52","230151","230152","0","-76.3754209102","3.88045253539","-76.3771364213","3.87167824902","1,008.69745941999"
"Vehiculo","89","22,819",,"Sogamoso-El Crucero","INVIAS-OTROS","80","0","6211","1","2","62111","62112","1","-72.9260910377","5.70286048252","-72.9278177432","5.69417629319","1,011.55057918"
"Vehiculo","90","13,740",,"San Alberto - Bucaramanga","INVIAS-OTROS","1,232","0","45A08","69","70","45A0869","45A0870","0","-73.3101681506","7.62235946891","-73.3046469239","7.61921951844","1,023.14201974"
"Vehiculo","91","14,200",,"Barranca - Aguachica","INVIAS-OTROS","30","0","4513","38","39","451338","451339","0","-73.5431770016","7.41148832773","-73.5451340268","7.40259070751","1,025.15825866"
"Vehiculo","92","12,392",,"Cúcuta - Puerto Santander","INVIAS-OTROS","1,246","0","5507","8","9","55078","55079","0","-72.5023753871","8.01104677063","-72.502843451","8.00210493376","1,030.22108984999"
"Vehiculo","93","36,094","IP - Nueva Malla Vial del Valle del Cauca",,"ANI","0","5G001",,"0","0",,,"0","-76.3761222328","3.39525610355","-76.3671847593","3.39422642205","1,042.508747"
"Vehiculo","94","30,778","IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot","Girardot - Bogotá","ANI","65","4G032","4005","98","99","400598","400599","0","-74.3356739645","4.52998543202","-74.3445039352","4.5283702987","1,050.76323711999"
"Vehiculo","95","8,536","Ruta del Sol 3","Bosconia - Cienaga","ANI","33","3G012","45MGB","0","1","45MGB0","45MGB1","0","-74.1628513564","10.5373170017","-74.1618174782","10.5281254439","1,050.80772572999"
"Vehiculo","96","22,080",,"Barbosa-Tunja","INVIAS-OTROS","78","0","6209","17","18","620917","620918","0","-73.5278145206","5.84443535545","-73.5210519069","5.84617282234","1,080.68689094999"
"Vehiculo","97","6,069",,,"OTRO","0","0",,"0","0",,,"0","-76.413283095","3.38347187144","-76.4163404704","3.37415239445","1,165.90697612999"
"Vehiculo","98","6,052","IP - Nueva Malla Vial del Valle del Cauca",,"ANI","0","5G001",,"0","0",,,"0","-76.4334385683","3.41233130032","-76.4219977053","3.41138773663","1,278.95628102"
"Vehiculo","99","360","Ruta del Sol 3","Bosconia - Cienaga","ANI","33","3G012","45MGB","3","5","45MGB3","45MGB5","0","-74.1647108303","10.5704816271","-74.163422407","10.5578783118","1,434.6184324"
"Vehiculo","100","2,670",,,"DEPTO","1,219","0",,"0","0",,,"0","-75.3764076847","6.41290194382","-75.3880768457","6.41116897939","1,434.70834095999"
